,0,1,2
0,490009281D,-0.102226,51.496818
1,490000073R,-0.099185,51.494505
2,490008975A,-0.096959,51.490446
3,490006380F,-0.095145,51.486955
4,490014501J,-0.094085,51.484042
5,490003138N,-0.094353,51.48142
6,490004221S,-0.094191,51.479772
7,490009784A,-0.09402,51.476622
8,490015299K,-0.091537,51.474028
9,490012713E,-0.088625,51.473746
10,490012357E1,-0.082406,51.473699
11,490012248E,-0.078259,51.474404
12,490014252E,-0.073654,51.473987
13,490011842B,-0.068915,51.474709
14,490010882G,-0.067215,51.474025
15,490004799QD,-0.062423,51.474297
16,490001233QN,-0.057313,51.473566
17,490011088QJ,-0.05208,51.473046
18,490010205E,-0.04848,51.474056
19,490010204G,-0.044745,51.474516
20,490000156R,-0.040399,51.475132
21,490009689T,-0.034607,51.475857
22,490009118S,-0.033499,51.472511
23,490012652S,-0.035289,51.470725
24,490016813S,-0.036162,51.4685
25,490009913S,-0.035868,51.466957
26,490004392B,-0.037537,51.464649
27,490012538BD,-0.03523,51.46138
28,490004264S,-0.034023,51.459651
29,490005942S1,-0.034986,51.457662
30,490001076B,-0.036503,51.455189
31,490004395D,-0.039033,51.452586
32,490009502HP,-0.040472,51.450569
33,490004399H,-0.041306,51.448236
34,490006242HK,-0.042476,51.446789
35,490004396S,-0.042753,51.444339
36,490005716S,-0.042371,51.442849
37,490005717E,-0.041706,51.442253
38,490008437W2,-0.038676,51.442104
39,490004124E,-0.034092,51.442288
40,490006767E,-0.030549,51.442363
41,490001053P,-0.024409,51.444589
42,490009117J,-0.020734,51.444725
43,490015150Z,-0.020231,51.443709
44,490003596S,-0.019689,51.439266
45,490010248S,-0.018483,51.436548
46,490004865S1,-0.017806,51.4349
