,0,1,2
0,490011378S,0.11596,51.375807
1,490013680W,0.114778,51.377276
2,490006281W,0.112754,51.377627
3,490007184W,0.109541,51.378081
4,490005675S,0.109327,51.369982
5,490007264S,0.110197,51.365785
6,490006654S,0.11388,51.362463
7,490013419S,0.112361,51.36035
8,490015896W,0.109213,51.358122
9,490001060B,0.10907,51.356256
10,490014893W,0.103057,51.357927
11,490005446W,0.098403,51.359512
12,490005748N,0.089184,51.360828
13,490010639N,0.091506,51.363251
14,490012592N,0.093341,51.364738
15,490013749N,0.095315,51.367383
16,490008209K,0.096812,51.371214
17,490015411L,0.097229,51.372483
18,490015411P,0.098458,51.373289
19,490015411S,0.097714,51.373986
20,490013818J,0.091449,51.371759
21,490001220A,0.089091,51.373296
22,490011150W,0.080542,51.372997
23,490005788W,0.076708,51.373353
24,490010512W1,0.071494,51.373391
25,490007255W,0.063821,51.371161
26,490012600W,0.057886,51.368568
27,490009243W,0.054387,51.366786
28,490008683W,0.046345,51.367187
29,490013438W,0.040426,51.367183
30,490008681W,0.035956,51.367458
31,490003675W,0.027622,51.367747
32,490007871W,0.012732,51.368597
33,490005544W,0.002959,51.370482
34,490003099W,-0.002044,51.370747
35,490009032W,-0.004797,51.368888
36,490003095W,-0.018338,51.364064
37,490003101E,-0.032038,51.356471
