,0,1,2
0,490000266G,-0.125984,51.501603
1,490005646E,-0.119368,51.500718
2,490009420E,-0.113774,51.499396
3,490000132A,-0.112315,51.498808
4,490008473S,-0.110768,51.494743
5,490006864S1,-0.110909,51.49203
6,490008643KE,-0.110915,51.4898
7,490014773KQ,-0.111448,51.487704
8,490008645X,-0.110881,51.485042
9,490008642J,-0.111269,51.480183
10,490014013S,-0.112439,51.477307
11,490007587S,-0.112652,51.473542
12,490009373S1,-0.112658,51.470602
13,490014085S,-0.112952,51.467324
14,490007523G,-0.113982,51.46538
15,490000031P,-0.114531,51.462961
16,490011793S,-0.116931,51.458791
17,490004362S1,-0.118328,51.456341
18,490004101S,-0.120682,51.453339
19,490008544S,-0.121203,51.452214
20,490015218S,-0.123845,51.448857
21,490008310S,-0.124788,51.446921
22,490005234S,-0.124421,51.444289
23,490013186S,-0.125022,51.442977
24,490001281D,-0.12583,51.439402
25,490009076F,-0.127203,51.43749
26,490010078J,-0.127742,51.435925
27,490008765L,-0.127961,51.434445
28,490003758N,-0.129376,51.432561
29,490012761U,-0.13133,51.428384
30,490001279W,-0.13155,51.425808
