,0,1,2
0,490000807Z,-0.172164,51.475025
1,490010771W,-0.170489,51.477651
2,490010771S,-0.170149,51.478599
3,490010979S,-0.167592,51.475924
4,490013443W1,-0.164162,51.472409
5,490004568W,-0.169353,51.471132
6,490003687W2,-0.172752,51.470043
7,490006722S,-0.170614,51.468049
8,490009843G,-0.168904,51.46581
9,490001069M,-0.168997,51.463724
10,490011066W,-0.172684,51.462002
11,490004538W,-0.175365,51.460471
12,490015372W,-0.178558,51.458371
13,490008418W,-0.183517,51.457818
14,490008093W,-0.187877,51.457149
15,490015546P,-0.189743,51.457627
16,490014184U,-0.19356,51.456841
17,490019402S,-0.196776,51.455226
18,490004492S,-0.197099,51.453604
