,0,1,2
0,490006652N,-0.072692,51.450006
1,490007293N,-0.071736,51.451159
2,490013900N,-0.069132,51.454902
3,490013918N,-0.067824,51.456562
4,490010885N,-0.066174,51.459503
5,490013366N,-0.066082,51.46031
6,490008807N2,-0.066474,51.462619
7,490010269N,-0.066482,51.46583
8,490008037X,-0.066787,51.467462
9,490001223U,-0.069414,51.470034
10,490011842R,-0.069822,51.472665
11,490014252W,-0.073654,51.473987
12,490012248W,-0.078259,51.474404
13,490012357W2,-0.082406,51.473699
14,490012713W,-0.088625,51.473746
15,490015299L,-0.091537,51.474028
16,490015298F,-0.093331,51.475208
17,490009784D,-0.09402,51.476622
18,490014979N2,-0.094066,51.478637
19,490004221N,-0.094191,51.479772
20,490003138N2,-0.094353,51.48142
21,490014501M,-0.094085,51.484042
22,490006380H,-0.095145,51.486955
23,490008975C,-0.096959,51.490446
24,490008122N,-0.098478,51.49235
25,490000073V,-0.099185,51.494505
26,490009270Z,-0.10206,51.49525
27,490008473N,-0.1059,51.496454
28,490000132B,-0.112315,51.498808
29,490009420W,-0.113774,51.499396
30,490005646D,-0.119368,51.500718
31,490015048A,-0.125984,51.501603
