,0,1,2
0,490010877H,-0.06726,51.473648
1,490010882G,-0.067215,51.474025
2,490004799QD,-0.062423,51.474297
3,490001233QN,-0.057313,51.473566
4,490011088QJ,-0.05208,51.473046
5,490010205E,-0.04848,51.474056
6,490010204G,-0.044745,51.474516
7,490000156R,-0.040399,51.475132
8,490009689S,-0.034607,51.475857
9,490000155V,-0.032427,51.476347
10,490006051E,-0.027365,51.475169
11,490002029W,-0.022438,51.474215
12,490004070V,-0.020359,51.475015
13,490009890E,-0.019062,51.475694
14,490001123N,-0.014096,51.478235
15,490007513H,-0.010008,51.479588
16,490007515C,-0.008526,51.481865
17,490006196F,-0.007117,51.481463
18,490013764S,-0.002747,51.482926
19,490009754K,0.000107,51.483633
20,490005231K,0.003661,51.484867
21,490007510D,0.008587,51.486195
22,490009685E,0.012962,51.486102
23,490006356E,0.015455,51.486131
24,490011398H,0.021172,51.486743
25,490011704E,0.025397,51.487183
26,490007093E2,0.027928,51.487418
27,490001058E,0.032495,51.488076
28,490012854E,0.03523,51.488694
29,490010911A,0.038967,51.490122
30,490014923E,0.039881,51.490259
31,490000889Z,0.043815,51.492214
32,490014247E,0.047787,51.492459
33,490006983DE,0.053929,51.4929
34,490008802E,0.056398,51.493019
35,490014928E,0.062224,51.493456
36,490011159Y,0.061144,51.492846
37,490013616T,0.065848,51.490785
38,490001344N1,0.06917,51.489962
39,490014934E,0.070737,51.491851
40,490009723E,0.076872,51.490869
41,490011069A,0.081158,51.491035
42,490001227M,0.084257,51.489795
43,490008908P,0.090448,51.48784
44,490011077E1,0.094831,51.486988
45,490011276E2,0.098038,51.486247
46,490011075E1,0.100395,51.485818
47,490004163N,0.106567,51.485033
48,490004835N,0.107291,51.486693
49,490004110E,0.107841,51.489561
50,490006774E,0.110948,51.493507
51,490010971E,0.114997,51.495403
52,490007556E,0.116471,51.496105
53,490015210E,0.118924,51.496186
54,490010190N,0.121031,51.49783
55,490004130N,0.118986,51.503434
