,0,1,2
0,490007494PA,0.089527,51.352261
1,490007495BC,0.089664,51.348967
2,490013420E,0.103849,51.344819
3,490011165S,0.111109,51.34405
4,490000429Z,0.110748,51.34277
5,490000430Z,0.111581,51.339968
6,490000431Z,0.11406,51.33736
7,490000432Z,0.11634,51.331986
8,2400107771,0.1178,51.329092
9,2400107775,0.121517,51.324421
10,2400107779,0.125871,51.320807
11,2400107781,0.129662,51.322087
12,2400A008650A,0.131087,51.325569
13,2400107785,0.137389,51.331137
14,2400107787,0.136126,51.332087
15,2400A034700A,0.135115,51.330091
16,2400A034710A,0.131541,51.326082
17,2400107783,0.129889,51.322029
18,2400A008630A,0.127177,51.318931
19,2400A034730A,0.124411,51.315924
20,2400107789,0.117236,51.314057
21,2400107793,0.11036,51.312436
22,2400A008680A,0.104102,51.309581
23,2400107797,0.102332,51.307905
24,2400107801,0.090914,51.30355
25,2400A008570A,0.086327,51.300457
26,490008370N,0.08086,51.308358
27,490005889Y,0.076557,51.312527
28,490000434Z,0.074539,51.316151
29,490000436Y,0.072508,51.31884
30,490005266Y,0.071116,51.321067
31,490009500Z,0.072435,51.325819
32,490000438Y,0.073002,51.327257
33,490000439Y,0.075057,51.33303
34,490012213Y,0.078149,51.336636
35,490005891Y,0.08011,51.339362
36,490023098N,0.082384,51.345508
37,490023097E,0.085463,51.34879
38,490007494DC,0.089527,51.352261
39,490006755DE,0.089156,51.356422
40,490005748N,0.089184,51.360828
41,490010639N,0.091506,51.363251
42,490012592N,0.093341,51.364738
43,490013749N,0.095315,51.367383
44,490008209K,0.096812,51.371214
45,490015411L,0.097229,51.372483
46,490015411R,0.097714,51.373986
47,490010641X,0.100285,51.377087
48,490013818J,0.091449,51.371759
49,490001220G,0.089091,51.373296
