,0,1,2
0,490006164A,-0.163389,51.408082
1,490013565N2,-0.161821,51.410611
2,490009286N,-0.16168,51.415186
3,490007316N,-0.161997,51.417322
4,490001296A,-0.161278,51.419848
5,490001296N,-0.161278,51.419848
6,490003295N,-0.158965,51.422634
7,490013709S,-0.16348,51.424477
8,490003990P,-0.165836,51.425979
9,490000234H,-0.168374,51.42763
10,490000234N,-0.169077,51.428395
11,490006718H2,-0.173246,51.42989
12,490012920W,-0.177138,51.431875
13,490007123W,-0.18012,51.432479
14,490008430W,-0.183281,51.43295
15,490004621N,-0.18582,51.43495
16,490014127S1,-0.186649,51.437265
17,490008502N,-0.186964,51.4395
18,490006306C,-0.187715,51.442337
19,490001088N,-0.189207,51.443177
20,490008074N,-0.189279,51.446073
21,490013088N,-0.189747,51.449174
22,490013484N,-0.190083,51.451589
23,490009631N,-0.192224,51.453861
24,490014184V,-0.192566,51.455764
25,490003045X,-0.195802,51.457307
