,0,1,2
0,490004733C,-0.049667,51.498053
1,490011723E,-0.05159,51.495358
2,490013042J,-0.046607,51.493953
3,490000229L,-0.047519,51.493196
4,490011722Q,-0.049079,51.491062
5,490005603W,-0.054038,51.490641
6,490011719A,-0.057309,51.488924
7,490009482N,-0.059776,51.490197
8,490003311N,-0.060625,51.491578
9,490012353W,-0.065308,51.49188
10,490011538W,-0.069523,51.492687
11,490003275W,-0.07444,51.493622
12,490012367W,-0.077665,51.495374
13,490007362S,-0.082327,51.496188
14,490015272BJ,-0.083955,51.495154
15,490003658BS,-0.09024,51.494033
16,490011632BT,-0.094672,51.494168
17,490000073N,-0.099185,51.494505
18,490009281A,-0.102226,51.496818
19,490012693N1,-0.108173,51.498613
20,490013485N,-0.109085,51.50129
