,0,1,2
0,490023099Z,0.020631,51.304224
1,490009798Z,0.020949,51.306224
2,490012404Z,0.022453,51.308132
3,490011693Z,0.026226,51.310072
4,490000816X,0.026618,51.311801
5,490020074Z,0.026879,51.313163
6,490010302Z,0.028457,51.313478
7,490003994E,0.034717,51.310968
8,490009625N,0.033712,51.312577
9,490008533N,0.032952,51.316152
10,490013017N,0.027245,51.322132
11,490011874N,0.023469,51.325363
12,490007746N,0.02304,51.328005
13,490003993N,0.026837,51.330763
14,490009878N,0.030193,51.336227
15,490009051N,0.030648,51.339384
16,490004073N,0.032177,51.343432
17,490008680N,0.037154,51.347509
18,490008000N2,0.033866,51.354653
19,490006863N,0.037426,51.358835
20,490011651N,0.038998,51.362855
21,490013438N,0.038891,51.36658
22,490013438E,0.040426,51.367183
23,490008683E,0.046345,51.367187
24,490009241E,0.050401,51.366649
25,490009243E,0.054387,51.366786
26,490012600E,0.057886,51.368568
27,490007255E,0.063821,51.371161
28,490010512W2,0.071494,51.373391
29,490005788E,0.076708,51.373353
30,490011150E,0.080542,51.372997
31,490001220B,0.089091,51.373296
32,490013818H,0.091449,51.371759
33,490015411R,0.097714,51.373986
34,490010641X,0.100285,51.377087
35,490010641Q,0.100291,51.375019
