,0,1,2
0,490010374A,0.004295,51.500474
1,490009887X,0.013256,51.494073
2,490009889Z,0.013711,51.491979
3,490013356E,0.013051,51.490075
4,490011853E,0.016266,51.489175
5,490011398H,0.021172,51.486743
6,490011704E,0.025397,51.487183
7,490007093E2,0.027928,51.487418
8,490001058E,0.032495,51.488076
9,490012854E,0.03523,51.488694
10,490010911A,0.038967,51.490122
11,490014923E,0.039881,51.490259
12,490000889Z,0.043815,51.492214
13,490014247E,0.047787,51.492459
14,490006983DE,0.053929,51.4929
15,490008802E,0.056398,51.493019
16,490014928E,0.062224,51.493456
17,490011159Y,0.061144,51.492846
18,490004677V,0.064389,51.491008
19,490001344S,0.06917,51.489962
20,490005370S,0.065148,51.486444
21,490007601S,0.062012,51.48301
22,490010273W,0.060806,51.482141
23,490011309H2,0.051729,51.478227
24,490011309Z,0.050677,51.476914
25,490007509S,0.048074,51.474757
26,490004460E,0.049059,51.472311
27,490012108E,0.054951,51.470769
28,490012108S,0.054951,51.470769
29,490004379S,0.054421,51.469547
30,490013592S,0.052273,51.466608
31,490003355S,0.050692,51.464414
32,490013309S,0.050067,51.461394
33,490008701S,0.050136,51.457158
34,490001097D,0.051016,51.455272
35,490006532E,0.051597,51.453769
36,490006537G,0.052282,51.451392
37,490015432K,0.051698,51.45026
38,490011752S,0.052583,51.446242
39,490001200B,0.050054,51.440218
40,490010067S,0.044441,51.436654
41,490010064S,0.048788,51.433152
42,490011447S,0.051919,51.430786
43,490006521S,0.05541,51.427146
44,490010478E,0.058731,51.424552
45,490013496S,0.06212,51.421866
46,490003139H,0.065978,51.419694
47,490010817K,0.068462,51.417366
48,490005205P,0.073515,51.413023
49,490015269T,0.074864,51.412325
