,0,1,2
0,490011943N,-0.196948,51.496145
1,490005528Q,-0.198277,51.498611
2,490010984U,-0.196487,51.499807
3,490000110A,-0.192792,51.501055
4,490008288H,-0.191645,51.503095
5,490012055N,-0.194479,51.506125
6,490000167G,-0.196104,51.509128
7,490015039B,-0.197401,51.509488
8,490005085N,-0.197428,51.512833
9,490005089E,-0.19561,51.514712
10,490014402A,-0.195421,51.515833
11,490012948N,-0.196293,51.518571
12,490014404P,-0.199097,51.519118
13,490000259A,-0.201065,51.52111
14,490007861C,-0.200398,51.524497
15,490007861E,-0.200642,51.524537
16,490006473N,-0.198055,51.525055
17,490013297N1,-0.197031,51.527269
18,490005186N2,-0.196046,51.528486
19,490004444N,-0.194154,51.530759
20,490012626N,-0.192584,51.533271
21,490000127KA,-0.194232,51.534979
22,490015243Z,-0.192237,51.537277
23,490008710P,-0.194904,51.539124
24,490011375K,-0.194706,51.540128
25,490003068N,-0.192559,51.541534
26,490014819N,-0.192671,51.543442
27,490012082A,-0.191421,51.545869
28,490001330N,-0.191357,51.547533
29,490006041F,-0.191452,51.549817
30,490014431N,-0.191923,51.551398
31,490014468N,-0.19527,51.553572
32,490006951N,-0.19676,51.554548
33,490006953N,-0.196216,51.557012
34,490015362N,-0.197156,51.5595
