,0,1,2
0,490015196R,-0.144945,51.514839
1,490011985BX,-0.152483,51.51413
2,490000144O,-0.158953,51.513424
3,490000144E,-0.161299,51.513873
4,490007167N1,-0.166255,51.517152
5,490015044Z,-0.169095,51.517125
6,490012797N,-0.172486,51.517402
7,490001221F,-0.17616,51.516981
8,490006321D,-0.17616,51.516981
9,490014406W,-0.181137,51.517681
10,490007252W,-0.184427,51.516868
11,490011365G,-0.189159,51.515664
12,490014402A,-0.195421,51.515833
13,490012948N,-0.196293,51.518571
14,490007420M,-0.199054,51.518371
15,490011158W,-0.202894,51.517503
16,490011137W,-0.206618,51.516616
17,490000131A,-0.210391,51.517449
18,490004702L,-0.212003,51.517867
19,490004699N,-0.215324,51.517711
20,490012646N,-0.217574,51.519517
21,490015456N,-0.218554,51.520997
22,490012645N1,-0.219248,51.522429
23,490005936W,-0.222221,51.522321
24,490008175W,-0.223937,51.521196
25,490011962W,-0.225762,51.519875
26,490004895S,-0.22751,51.517914
27,490014869W,-0.228127,51.516862
28,490007707F,-0.234737,51.51626
29,490014971G,-0.241779,51.515674
30,490000065H,-0.247248,51.516612
31,490013349M,-0.250147,51.516959
32,490009299N,-0.250762,51.518964
33,490004524W,-0.253818,51.519702
