,0,1,2
0,490015196R,-0.144945,51.514839
1,490011985BX,-0.152483,51.51413
2,490000144O,-0.158953,51.513424
3,490000144E,-0.161299,51.513873
4,490007167N3,-0.164645,51.516309
5,490013046T,-0.169095,51.517125
6,490006428B,-0.17015,51.520299
7,490015285N,-0.173381,51.522398
8,490010621N,-0.174926,51.52342
9,490012747F,-0.177484,51.525061
10,490007679N,-0.180421,51.528757
11,490006475A,-0.18406,51.530441
12,490004805N,-0.186906,51.532814
13,490008712N,-0.188361,51.534302
14,490015243X,-0.192237,51.537277
15,490001170R,-0.193565,51.53798
16,490008710P,-0.194904,51.539124
17,490011235J,-0.196213,51.540313
18,490015242G,-0.198699,51.541629
19,490008793W,-0.202072,51.540916
20,490011080N,-0.205826,51.541531
21,490005226W,-0.209432,51.543735
22,490006023E2,-0.214445,51.545331
23,490012148W,-0.218622,51.546582
24,490014693F,-0.223614,51.547287
25,490014691W1,-0.228737,51.546834
26,490014088W,-0.232916,51.547311
27,490014687S,-0.236505,51.547733
28,490014687W1,-0.239947,51.548603
