,0,1,2
0,490012230S,-0.213439,51.56108
1,490001075Q,-0.212677,51.558453
2,490015253T,-0.21116,51.558131
3,490014415E,-0.209128,51.556617
4,490009804E,-0.207648,51.554265
5,490009940E,-0.205851,51.552997
6,490011931S,-0.207999,51.550844
7,490008214E,-0.199953,51.551495
8,490012218E,-0.19689,51.551996
9,490003186E,-0.194767,51.552071
10,490014431S,-0.191923,51.551398
11,490006041D,-0.191452,51.549817
12,490000263S,-0.191357,51.547533
13,490000263E,-0.19033,51.546473
14,490015161E1,-0.184049,51.544487
15,490004370E,-0.182638,51.546947
16,490000082T,-0.180414,51.546661
17,490000082FJ,-0.179845,51.546825
18,490005487B,-0.175653,51.544528
19,490000230E,-0.174894,51.543681
20,490014749E,-0.169929,51.542712
21,490013582E,-0.165308,51.543206
22,490011186N,-0.163135,51.543469
23,490006591N,-0.161709,51.546288
24,490006591E,-0.160386,51.547248
25,490013939N,-0.162802,51.549219
26,490000020K,-0.164783,51.550529
27,490015255G,-0.168286,51.553441
28,490011760C,-0.165511,51.553947
29,490012280B,-0.16469,51.554275
30,490005756E,-0.161505,51.554558
31,490009204E,-0.157743,51.552341
32,490006648E,-0.154237,51.554156
33,490001119E,-0.15077,51.555335
34,490007308E,-0.1471,51.557263
35,490005974N,-0.147437,51.557475
36,490014902N,-0.148885,51.558775
37,490010852N,-0.150179,51.560657
