,0,1,2
0,490005797N,-0.179115,51.494997
1,490006552N,-0.179784,51.49811
2,490011334W,-0.181975,51.501687
3,490010728W,-0.182949,51.501468
4,490011761N,-0.18776,51.502244
5,490008288H,-0.191645,51.503095
6,490012055N,-0.194479,51.506125
7,490000167F,-0.196104,51.509128
8,490015463M,-0.19343,51.509714
9,490010632T,-0.189275,51.510181
10,490000187B,-0.187152,51.510312
11,490000018P,-0.187938,51.512284
12,490011365G,-0.189159,51.515664
13,490014402A,-0.195421,51.515833
14,490012948N,-0.196293,51.518571
15,490007420M,-0.199054,51.518371
16,490011158W,-0.202894,51.517503
17,490011137W,-0.206618,51.516616
18,490000131A,-0.210391,51.517449
19,490005139D,-0.211296,51.519718
20,490008898F,-0.212283,51.521388
21,490003619M,-0.213644,51.523432
22,490004737R,-0.214616,51.525488
23,490008897T,-0.215968,51.52558
24,490004737S,-0.214616,51.525488
25,490003618Q,-0.217846,51.523639
26,490005936W,-0.222221,51.522321
27,490008175W,-0.223937,51.521196
28,490011962W,-0.225762,51.519875
29,490004895S,-0.22751,51.517914
30,490014869W,-0.228127,51.516862
31,490007707FF,-0.234737,51.51626
32,490014971G,-0.241779,51.515674
33,490000065H,-0.247248,51.516612
34,490014446I,-0.249881,51.513745
35,490011937J,-0.248453,51.5134
36,490008744X,-0.251118,51.512657
37,490012067W,-0.254803,51.512019
38,490012016S,-0.257295,51.510932
39,490015431S,-0.257136,51.507153
40,490003084W,-0.260999,51.506365
41,490001002J,-0.262971,51.508716
42,490003083G,-0.267253,51.506746
