,0,1,2
0,490003375WJ,-0.223694,51.508567
1,490000203D,-0.219213,51.504791
2,490011331N,-0.214937,51.506959
3,490014722N,-0.215874,51.50879
4,490012857N,-0.216819,51.511178
5,490000134B,-0.217799,51.513389
6,490005848N,-0.217434,51.51608
7,490004699E,-0.21587,51.517018
8,490004699N,-0.215324,51.517711
9,490012646N,-0.217574,51.519517
10,490015456N,-0.218554,51.520997
11,490012645N1,-0.219248,51.522429
12,490003618P,-0.217846,51.523639
13,490004737R,-0.214616,51.525488
14,490008897T,-0.215968,51.52558
15,490007860N,-0.216118,51.52837
16,490003583N,-0.216296,51.530468
17,490003577E,-0.215874,51.531298
18,490003237E,-0.211084,51.532133
19,490000186A,-0.204882,51.534443
20,490005692E,-0.199936,51.532556
21,490004710E,-0.194527,51.532257
22,490012626N,-0.192584,51.533271
23,490000127KA,-0.194232,51.534979
24,490015243Z,-0.192237,51.537277
25,490001170S,-0.193565,51.53798
26,490008710P,-0.194904,51.539124
27,490011235J,-0.196213,51.540313
28,490004565N,-0.199532,51.54281
29,490001038N,-0.202309,51.545166
30,490000126A,-0.204248,51.547183
31,490008768N,-0.205882,51.548906
32,490009909N,-0.207999,51.550844
33,490014140N,-0.212132,51.553956
34,490005770K,-0.214373,51.556022
35,490005776A,-0.215867,51.557295
36,490010015N,-0.219035,51.560014
