,0,1,2
0,490000144L,-0.158953,51.513424
1,490010622BA,-0.154222,51.514607
2,490002121Z,-0.157283,51.516247
3,490011124F,-0.156932,51.520657
4,490000011ZZ,-0.15713,51.522883
5,490002122Z,-0.160328,51.52509
6,490010797W,-0.162463,51.525402
7,490011717W,-0.166343,51.524644
8,490005311N2,-0.170645,51.525925
9,490006979N,-0.173511,51.527085
10,490015334N,-0.182235,51.528839
11,490003030N,-0.177838,51.53244
12,490009675N,-0.180735,51.534985
13,490004187N,-0.185005,51.538198
14,490003027N,-0.187896,51.540203
15,490011375L,-0.194706,51.540128
16,490011235J,-0.196213,51.540313
17,490004565N,-0.199532,51.54281
18,490001038N,-0.202309,51.545166
19,490000126A,-0.204248,51.547183
20,490008768N,-0.205882,51.548906
21,490009909N,-0.207999,51.550844
22,490014140N,-0.212132,51.553956
23,490005770J,-0.214373,51.556022
24,490005773C,-0.214298,51.557568
25,490001075P,-0.212677,51.558453
26,490012230N,-0.213439,51.56108
