,0,1,2
0,490000146A,-0.03364,51.525122
1,490006614S,-0.03152,51.521461
2,490003783S,-0.03068,51.519226
3,490012881S,-0.029568,51.51659
4,490011031S,-0.028431,51.514898
5,490004584S,-0.027901,51.512138
6,490009159S,-0.027143,51.511001
7,490002083A,-0.02675,51.509431
8,490014483C,-0.024566,51.505607
9,490000038F,-0.019121,51.503734
10,490016668L,-0.019121,51.503734
11,490005323S,-0.025628,51.503044
12,490009545S,-0.025927,51.501466
13,490003602S,-0.025909,51.498876
14,490012181S,-0.025722,51.496535
15,490012736N,-0.00949,51.497088
16,490013513N,-0.00928,51.49926
17,490013270N,-0.008855,51.502068
18,490004321N,-0.0079,51.503481
19,490003459R,-0.007402,51.505982
20,490011111W1,-0.010093,51.508725
21,490011107Z,-0.01124,51.51084
