,0,1,2
0,490011187S,-0.079049,51.52036
1,490000138L,-0.083162,51.51794
2,490004043S,-0.082295,51.516178
3,490010527W,-0.085624,51.514128
4,490013195H,-0.089095,51.513395
5,490010200C,-0.097458,51.513044
6,490012873B,-0.101056,51.513858
7,490009443F,-0.103524,51.514122
8,490012105HB,-0.106639,51.514083
9,490006826W,-0.10875,51.514252
10,490015067W,-0.110438,51.513874
11,490011757P,-0.114165,51.513314
12,490000293Z,-0.115429,51.513064
13,490019703Y,-0.118517,51.512637
14,490011938U,-0.120481,51.510771
15,490003112J,-0.123193,51.509673
16,490013766K,-0.126137,51.507819
17,490014585N,-0.126992,51.506271
18,490008376S,-0.126092,51.504323
19,490015048T,-0.125984,51.501603
20,490014495V,-0.131453,51.49869
21,490010260SD,-0.133608,51.499544
22,490003384SB,-0.137451,51.497149
23,490014496M,-0.141276,51.496625
24,490014050R,-0.143826,51.495812
