,0,1,2
0,490000200E,-0.124285,51.523073
1,490005624S,-0.123489,51.521053
2,490013477A,-0.121704,51.519577
3,490000112M,-0.11976,51.51674
4,490019703Z,-0.118517,51.512637
5,490014271N,-0.115004,51.506259
6,490000254E,-0.113356,51.504269
7,490013485S1,-0.108752,51.501338
8,490012693S2,-0.108173,51.498613
9,490009281E,-0.102003,51.496634
10,490004315BH,-0.083955,51.495154
11,490007362N,-0.082327,51.496188
12,490003035N,-0.0795,51.499019
13,490006200E,-0.078164,51.500967
14,490013745S,-0.076376,51.501702
15,490006091E,-0.072802,51.500007
16,490003034E,-0.069318,51.498574
17,490012729D,-0.063993,51.49775
18,490006202E,-0.062548,51.498525
19,490012349F,-0.057264,51.498797
20,490010176S,-0.054049,51.497476
21,490013041T,-0.053216,51.497084
22,490000037S,-0.049667,51.498053
23,490015602S,-0.045905,51.497574
24,490013040G,-0.045545,51.495212
