,0,1,2
0,490000254F,-0.113356,51.504269
1,490014270P,-0.115004,51.506259
2,490008932T,-0.118935,51.510522
3,490003191D,-0.119003,51.512366
4,490011757M,-0.114165,51.513314
5,490006826E,-0.10875,51.514252
6,490012105HA,-0.105912,51.514233
7,490009443G,-0.101888,51.513952
8,490012873A,-0.101056,51.513858
9,490000143E,-0.094009,51.512117
10,490013195J,-0.089095,51.513395
11,490000148G,-0.087205,51.511465
12,490000148M,-0.084934,51.512363
13,490004043N2,-0.082295,51.516178
14,490000138F,-0.083162,51.51794
15,490011187N,-0.079049,51.52036
16,490005524F,-0.075246,51.523375
17,490016266N,-0.07734,51.524316
