,0,1,2
0,490002025A,-0.014606,51.495728
1,490007777N,-0.013455,51.499349
2,490013217W,-0.01421,51.499883
3,490002074W,-0.019711,51.500597
4,490013428W,-0.022287,51.501009
5,490008097N,-0.021421,51.503379
6,490014457B,-0.026823,51.505411
7,490014483C,-0.024566,51.505607
8,490000038F,-0.019121,51.503734
9,490016707H,-0.01757,51.505111
10,490017847E,-0.013984,51.504403
11,490004005N,-0.010476,51.506205
12,490011111W1,-0.010093,51.508725
13,490011107H,-0.01124,51.51084
14,490003315F,-0.008526,51.514589
15,490012446N,-0.010197,51.518574
16,490005679N,-0.010456,51.522221
17,490000032X,-0.011538,51.524839
