,0,1,2
0,490012020B,-0.058559,51.511039
1,490013687J,-0.058862,51.509336
2,490014209S,-0.05868,51.505808
3,490011250E,-0.057051,51.505484
4,490003335E,-0.05577,51.506479
5,490014211S,-0.054303,51.505394
6,490000251W,-0.055931,51.504388
7,490006246W,-0.060614,51.503367
8,490014210W,-0.06366,51.503912
9,490008089W,-0.064973,51.505219
10,490012021N,-0.066626,51.506011
11,490014016N,-0.066729,51.507658
12,490014944W,-0.071788,51.508326
13,490002076RV,-0.074813,51.510621
14,490009606S,-0.073327,51.51283
15,490006229ZY,-0.078629,51.514571
16,490004043N,-0.081138,51.515916
17,490004043Q,-0.082295,51.516178
18,490015208N,-0.088627,51.518338
19,490010130W,-0.095199,51.517441
20,490000225W,-0.097567,51.514936
21,490008743N,-0.098638,51.516552
