,0,1,2
0,490005910S,-0.075246,51.523375
1,490005524D,-0.078147,51.521928
2,490011187S,-0.079049,51.52036
3,490000138L,-0.083162,51.51794
4,490000003B,-0.07514,51.514955
5,490000004Z,-0.072384,51.515037
6,490009276E,-0.065262,51.514738
7,490010255E,-0.062678,51.51484
8,490014308F,-0.057061,51.514405
9,490012782E,-0.052336,51.514012
10,490003353E,-0.047962,51.513489
11,490012669E,-0.044671,51.513282
12,490001180E,-0.039799,51.512469
13,490009403E,-0.034713,51.512594
14,490011873E,-0.032542,51.512467
15,490009158E,-0.027216,51.511659
16,490009159S,-0.027143,51.511001
17,490002083A,-0.02675,51.509431
18,490014483C,-0.024566,51.505607
19,490000038F,-0.019121,51.503734
20,490016668L,-0.019121,51.503734
21,490005323S,-0.025628,51.503044
22,490009545S,-0.025927,51.501466
23,490003602S,-0.025909,51.498876
24,490012181S,-0.025722,51.496535
25,490012736N,-0.00949,51.497088
26,490013513N,-0.00928,51.49926
27,490008529N,-0.009744,51.499871
28,490007777S,-0.013455,51.499349
29,490009274S,-0.013696,51.497788
30,490002025B,-0.014606,51.495728
31,490008507S,-0.013073,51.494873
