,0,1,2
0,490002025A,-0.014606,51.495728
1,490007777N,-0.013455,51.499349
2,490008529E,-0.009744,51.499871
3,490013270N,-0.008855,51.502068
4,490004321N,-0.0079,51.503481
5,490003459R,-0.007402,51.505982
6,490011111W1,-0.010093,51.508725
7,490003701A,-0.012391,51.51121
8,490011114AD,-0.016568,51.510939
9,490013936W,-0.021412,51.510904
10,490013965W,-0.02512,51.511461
11,490004584N,-0.027901,51.512138
12,490011031N,-0.028431,51.514898
13,490012881N,-0.029568,51.51659
14,490013846N,-0.030275,51.517915
15,490006614N,-0.03152,51.521461
16,490000146B,-0.03364,51.525122
