,0,1,2
0,490006164A,-0.163389,51.408082
1,490013565N2,-0.162093,51.410273
2,490009286N,-0.16183,51.415035
3,490007316N,-0.161997,51.417322
4,490001296A,-0.161278,51.419848
5,490001296N,-0.161278,51.419848
6,490003295N,-0.158965,51.422634
7,490013709S,-0.16348,51.424477
8,490003990P,-0.165836,51.425979
9,490000234H,-0.168374,51.42763
10,490000234N,-0.169077,51.428395
11,490007124W,-0.174409,51.429584
12,490005714S,-0.176901,51.428067
13,490008719S,-0.179302,51.426657
14,490004076E,-0.176983,51.424912
