,0,1,2
0,490000248G,-0.143826,51.495812
1,490014051V,-0.149216,51.492668
2,490006399W,-0.151628,51.490736
3,490011763W,-0.156266,51.488957
4,490010156S,-0.160893,51.486377
5,490006876S,-0.163359,51.484509
6,490003152W,-0.166138,51.483446
7,490003682W,-0.176444,51.484327
8,490003683S,-0.171071,51.479657
9,490010034W,-0.171329,51.478609
10,490013007W,-0.174632,51.476673
11,490003688W,-0.176493,51.474427
12,490009263W,-0.177326,51.47015
13,490008280S,-0.177546,51.465342
14,490014323S,-0.177116,51.464571
15,490015058E,-0.168997,51.463724
16,490009843G,-0.169531,51.466324
17,490001069M,-0.168997,51.463724
18,490011066W,-0.172684,51.462002
19,490004538W,-0.175365,51.460471
20,490015372W,-0.179224,51.459721
21,490008418W,-0.183517,51.457818
22,490008093W,-0.187877,51.457149
23,490015546P,-0.189743,51.457627
24,490014189Y,-0.196626,51.457203
