,0,1,2
0,490000206H,-0.156377,51.49227
1,490006224G,-0.1605,51.491128
2,490014150KA,-0.162266,51.490202
3,490009666KB,-0.164763,51.489
4,490005073KC,-0.166634,51.48831
5,490004809KD,-0.171138,51.486627
6,490015145S,-0.175079,51.483874
7,490005152S,-0.173979,51.482571
8,490010771S,-0.169233,51.47774
9,490010979S,-0.167592,51.475924
10,490013443W1,-0.164162,51.472409
11,490004568W,-0.169353,51.471132
12,490003687W2,-0.172752,51.470043
13,490006722S,-0.170614,51.468049
14,490009843G,-0.169531,51.466324
15,490005332T,-0.168997,51.463724
16,490005333Y,-0.168997,51.463724
17,490011862S,-0.165631,51.457315
18,490005964S,-0.164299,51.454632
19,490004106S,-0.165314,51.450854
20,490007340S1,-0.164285,51.449237
21,490001309B,-0.163386,51.446185
22,490013044E,-0.167762,51.444003
23,490004406S,-0.166091,51.441882
24,490013948S,-0.164253,51.439983
25,490006395S,-0.162789,51.438476
26,490000233A,-0.159736,51.435678
27,490000233F,-0.158437,51.435422
28,490009994E,-0.154548,51.433383
29,490006986E,-0.152172,51.432356
30,490013711E,-0.147095,51.43126
