,0,1,2
0,490014649S,-0.154127,51.469508
1,490009007W,-0.163106,51.464281
2,490005332T,-0.168997,51.463724
3,490005333Y,-0.168997,51.463724
4,490011862S,-0.165631,51.457315
5,490005964S,-0.164299,51.454632
6,490015965E,-0.154584,51.456404
7,490000052SA,-0.147582,51.452654
8,490004225W,-0.153885,51.45125
9,490011411W,-0.156708,51.450494
10,490011792W,-0.158333,51.45016
11,490004132W,-0.162684,51.448618
12,490001309B,-0.163386,51.446185
13,490013044E,-0.167762,51.444003
14,490009649W,-0.171517,51.44185
15,490013669W,-0.17458,51.440828
16,490010604W,-0.17749,51.439659
17,490004622W,-0.180259,51.438416
18,490018848E,-0.178805,51.436244
19,490012694E,-0.176272,51.43446
20,490008430E,-0.18012,51.432479
21,490012920E,-0.176452,51.431747
22,490007124W,-0.174409,51.429584
23,490012701H4,-0.175208,51.4276
24,490012701H7,-0.171925,51.427666
25,490012701S,-0.17277,51.42633
26,490012701H6,-0.174093,51.425614
27,490010468H8,-0.169925,51.425872
28,490015513L,-0.168374,51.42763
29,490000234C,-0.166694,51.42718
30,490013709R,-0.16348,51.424477
31,490011220E,-0.144048,51.428712
